barcode,item,new_desc,price,source
EXTNLEAD240V10A-0209,EXTNLEAD240V10A-0209,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0282,EXTNLEAD240V10A-0282,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0210,EXTNLEAD240V10A-0210,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V15A-0192,EXTNLEAD240V15A-0192,15 A Extension Lead,121.95,https://www.jettindustrial.com.au/extension-lead-heavy-duty-25mm-15-amp-x-20m
EXTNLEAD240V10A-0162,EXTNLEAD240V10A-0162,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0481,EXTNLEAD240V10A-0481,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0679,EXTNLEAD240V10A-0679,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0502,EXTNLEAD240V10A-0502,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0769,EXTNLEAD240V10A-0769,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0710,EXTNLEAD240V10A-0710,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0223,EXTNLEAD240V10A-0223,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
LEADEXT240V10AM-0015,LEADEXT240V10AM-0015,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0638,EXTNLEAD240V10A-0638,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0692,EXTNLEAD240V10A-0692,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0453,EXTNLEAD240V10A-0453,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0687,EXTNLEAD240V10A-0687,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0705,EXTNLEAD240V10A-0705,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0339,EXTNLEAD240V10A-0339,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0612,EXTNLEAD240V10A-0612,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0578,EXTNLEAD240V10A-0578,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0781,EXTNLEAD240V10A-0781,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0155,EXTNLEAD240V10A-0155,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0342,EXTNLEAD240V10A-0342,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0730,EXTNLEAD240V10A-0730,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0664,EXTNLEAD240V10A-0664,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0244,EXTNLEAD240V10A-0244,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0737,EXTNLEAD240V10A-0737,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0247,EXTNLEAD240V10A-0247,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0637,EXTNLEAD240V10A-0637,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0640,EXTNLEAD240V10A-0640,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0340,EXTNLEAD240V10A-0340,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
EXTNLEAD240V10A-0344,EXTNLEAD240V10A-0344,10 A Extension Lead,74.9,https://housetradesupplies.com.au/hpm-20m-10a-extension-lead-construction-r2920.html
